Building,Floor,Suite,Room,Room Type,Suite Size (if applicable),Is Suite?,Room Size,Has Kitchen?,Has Bathroom?,Common Area Size,Floor Plan Link
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 050,BARBOUR 050 051,Double (Suite/Apartment),3,Yes,307,Yes,Yes,331,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_0_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 050,BARBOUR 050 052,Single (Suite/Apartment),3,Yes,98,Yes,Yes,331,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_0_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 080,BARBOUR 080 081,Double (Suite/Apartment),4,Yes,228,Yes,Yes,385,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_0_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 080,BARBOUR 080 084,Double (Suite/Apartment),4,Yes,199,Yes,Yes,385,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_0_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,Triple,,No,425,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1,BARBOUR 105,BARBOUR 105,Triple,,No,482,Yes,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1,BARBOUR 106,BARBOUR 106,Double,,No,379,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1,BARBOUR 108,BARBOUR 108,Double,,No,397,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 150,BARBOUR 150 152,Triple (Suite/Apartment),5,Yes,276,Yes,Yes,312,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 150,BARBOUR 150 155,Double (Suite/Apartment),5,Yes,186,Yes,Yes,312,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 170,BARBOUR 170 171,Double (Suite/Apartment),4,Yes,183,Yes,Yes,329,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 170,BARBOUR 170 174,Double (Suite/Apartment),4,Yes,183,Yes,Yes,329,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 180,BARBOUR 180 180,Double (Suite/Apartment),4,Yes,182,Yes,Yes,262,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 180,BARBOUR 180 183,Double (Suite/Apartment),4,Yes,203,Yes,Yes,262,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_1_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2,BARBOUR 201,BARBOUR 201,Double,,No,399,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2,BARBOUR 202,BARBOUR 202,Double,,No,350,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,Triple,,No,387,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2,BARBOUR 205,BARBOUR 205,Triple,,No,444,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 250,BARBOUR 250 252,Triple (Suite/Apartment),5,Yes,287,Yes,Yes,312,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 250,BARBOUR 250 255,Double (Suite/Apartment),5,Yes,186,Yes,Yes,312,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 260,BARBOUR 260 263,Single (Suite/Apartment),5,Yes,90,Yes,Yes,527,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 260,BARBOUR 260 264,Double (Suite/Apartment),5,Yes,183,Yes,Yes,527,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 260,BARBOUR 260 265,Double (Suite/Apartment),5,Yes,183,Yes,Yes,527,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 280,BARBOUR 280 281,Double (Suite/Apartment),4,Yes,182,Yes,Yes,262,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 2 APT,BARBOUR 280,BARBOUR 280 283,Double (Suite/Apartment),4,Yes,203,Yes,Yes,262,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_2_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3,BARBOUR 301,BARBOUR 301,Double,,No,399,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3,BARBOUR 302,BARBOUR 302,Double,,No,350,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3,BARBOUR 303,BARBOUR 303,Triple,,No,425,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3,BARBOUR 305,BARBOUR 305,Double,,No,482,Yes,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3,BARBOUR 306,BARBOUR 306,Double,,No,379,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3,BARBOUR 308,BARBOUR 308,Double,,No,397,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 350,BARBOUR 350 352,Triple (Suite/Apartment),5,Yes,287,Yes,Yes,312,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 350,BARBOUR 350 355,Double (Suite/Apartment),5,Yes,186,Yes,Yes,312,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 360,BARBOUR 360 363,Single (Suite/Apartment),5,Yes,90,Yes,Yes,350,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 360,BARBOUR 360 364,Double (Suite/Apartment),5,Yes,183,Yes,Yes,350,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 360,BARBOUR 360 365,Double (Suite/Apartment),5,Yes,183,Yes,Yes,350,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 370,BARBOUR 370 371,Double (Suite/Apartment),4,Yes,183,Yes,Yes,329,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 370,BARBOUR 370 374,Double (Suite/Apartment),4,Yes,183,Yes,Yes,329,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 390,BARBOUR 390 391,Double (Suite/Apartment),4,Yes,183,Yes,Yes,261,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 390,BARBOUR 390 393,Double (Suite/Apartment),4,Yes,198,Yes,Yes,261,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100129_3_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 1,BUXTON 101,BUXTON 101,Double,,No,223,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_1_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 1,BUXTON 102,BUXTON 102,Double,,No,222,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_1_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 201,BUXTON 201,Double,,No,223,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 202,BUXTON 202,Double,,No,313,No,Yes,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 212,BUXTON 212,Single,,No,121,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 214,BUXTON 214,Double,,No,250,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 216A,BUXTON 216A,Single,,No,123,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 216B,BUXTON 216B,Single,,No,121,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 218,BUXTON 218,Double,,No,243,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 219,BUXTON 219,Double,,No,232,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 2,BUXTON 220,BUXTON 220,Double,,No,232,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 301,BUXTON 301,Double,,No,222,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 302,BUXTON 302,Double,,No,223,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 314,BUXTON 314,Double,,No,250,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 316A,BUXTON 316A,Single,,No,123,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 316B,BUXTON 316B,Single,,No,121,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
BUXTON HOUSE,BUXTON FL 3,BUXTON 318,BUXTON 318,Double,,No,243,No,No,0,https://brown.edu/Facilities/Facilities_Management/maps/docx/floor_plan/m_100174_2_dwg_base_a_8x11l.pdf
